Ordered;Qty;Value;Device;Package;Parts;Description;CATEGORY;DESCRIPTION;HEAT-SINK;MANUFACTURER;MF;MPN;OC_FARNELL;OC_NEWARK;OPERATING_TEMP;OPERTAING_TEMP;PART_STATUS;POPULARITY;ROHS_COMPLIANT;SERIES;SPICEMODEL;SPICEPREFIX;SPICEPREFIXL;SUB-CATEGORY;THERMALLOSS;TYPE;VALUE
0;1;;F15HP;F15HP;X1;SUB-D;;;;;;;unknown;unknown;;;;0;;;;;;;;;
0;1;;PSS254_G2;PSS254_G2;WP;;;;;;;;;;;;;;;;;;;;;;
0;1;;PSS254_G3;PSS254_G3;PROBES;;;;;;;;;;;;;;;;;;;;;;
3;1;;USBMINIB;USB-MINIB;CN1;USB Connectors;;;;;;;;;;;;;;;;;;;;;
400;100;100n;C-EUC0805;C0805;C1, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C33, C35, C36, C37, C43, C45, C46, C47, C48, C49, C51, C52, C53, C54, C55, C56, C92, C94, C95, C96, C97, C98, C100, C101, C102, C103, C104, C105, C113, C115, C116, C117, C118, C119, C121, C122, C123, C124, C125, C126, C134, C136, C137, C138, C139, C140, C142, C143, C144, C145, C146, C147, C155, C157, C158, C159, C160, C161, C163, C164, C165, C166, C167, C168, C197, C199, C200, C201, C202, C203, C205, C206, C207, C208, C209, C210;CAPACITOR, European symbol;;;;;;;;;;;;88;;;;C;;;;;
20;1;100n;C-EUC1206;C1206;C42;CAPACITOR, European symbol;;;;;;;;;;;;54;;;;C;;;;;
50;4;10k;R-EU_R0805;R0805;R1, R4, R26, R27;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
10;1;10n;C-EUC0805;C0805;C2;CAPACITOR, European symbol;;;;;;;;;;;;88;;;;C;;;;;
30;14;10u;CPOL-EUE/7260-38W;E/7260-38W;C30, C31, C32, C38, C39, C40, C41, C60, C61, C62, C64, C65, C66, C67;POLARIZED CAPACITOR, European symbol;;;;;;;;;;;;0;;;;C;;;;;
20;8;1V9;LEDCHIP-LED0805;CHIP-LED0805;LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8;LED;;;;;;;;;;;;;;;;;;;;;
50;24;1k 0.1%;R-EU_R0805;R0805;R30, R33, R69, R74, R76, R86, R88, R92, R101, R105, R107, R111, R120, R124, R126, R130, R139, R143, R145, R149, R177, R181, R183, R187;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
10;1;1k5;R-EU_R0805;R0805;R7;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
100;18;1u;C-EUC0805;C0805;C34, C50, C63, C93, C99, C109, C114, C120, C130, C135, C141, C151, C156, C162, C172, C198, C204, C214;CAPACITOR, European symbol;;;;;;;;;;;;88;;;;C;;;;;
20;2;2;R-EU_R0805;R0805;R2, R3;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
20;2;27;R-EU_R0805;R0805;R6, R8;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
10;1;2k;R-EU_R0805;R0805;R22;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;
10;1;2k2;R-EU_R0805;R0805;R24;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
0;1;330;4R-NEXBS8V;EXBS8V;RN10;Array Chip Resistor;;;;;;;unknown;unknown;;;;0;;;;;;;;;
10;1;330;R-EU_R0805;R0805;R19;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
50;6;33n;C-EUC0805;C0805;C68, C110, C131, C152, C173, C215;CAPACITOR, European symbol;;;;;;;;;;;;88;;;;C;;;;;
50;4;3k;R-EU_R0805;R0805;R11, R12, R13, R23;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;
20;2;3k3;R-EU_R0805;R0805;R16, R17;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;
50;12;3n3;C-EUC0805;C0805;C69, C70, C111, C112, C132, C133, C153, C154, C174, C175, C216, C217;CAPACITOR, European symbol;;;;;;;;;;;;88;;;;C;;;;;
20;2;4.7u;C-EUC0805;C0805;C3, C5;CAPACITOR, European symbol;;;;;;;;;;;;88;;;;C;;;;;
120;24;40 1%;R-EU_R0805;R0805;R29, R32, R72, R73, R84, R85, R90, R91, R103, R104, R109, R110, R122, R123, R128, R129, R141, R142, R147, R148, R179, R180, R185, R186;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
150;31;47;R-EU_R0805;R0805;R14, R31, R35, R36, R40, R41, R45, R46, R50, R51, R55, R56, R60, R61, R70, R75, R83, R89, R93, R102, R108, R112, R121, R127, R131, R140, R146, R150, R178, R184, R188;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
20;2;470;R-EU_R0805;R0805;R9, R21;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
20;2;470n;C-EUC0805;C0805;C4, C6;CAPACITOR, European symbol;;;;;;;;;;;;88;;;;C;;;;;
120;20;4k7;R-EU_R0805;R0805;R5, R20, R28, R68, R71, R77, R87, R94, R100, R106, R113, R119, R125, R132, R138, R144, R151, R176, R182, R189;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
30;12;4k7 1%;R-EU_R0805;R0805;R78, R79, R95, R96, R114, R115, R133, R134, R152, R153, R190, R191;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
20;2;500;R-EU_R0805;R0805;R10, R15;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;
10;2;5V6;DZMELF;DMELF;D1, D5;Zener diode;;;;;;;;;;;;;;;;;;;;;
10;1;680;R-EU_R0805;R0805;R18;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
50;6;68n;C-EUC0805;C0805;C58, C107, C128, C149, C170, C212;CAPACITOR, European symbol;;;;;;;;;;;;88;;;;C;;;;;
50;12;6n8;C-EUC0805;C0805;C57, C59, C106, C108, C127, C129, C148, C150, C169, C171, C211, C213;CAPACITOR, European symbol;;;;;;;;;;;;88;;;;C;;;;;
10;1;7k5;R-EU_R0805;R0805;R25;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
12;6;820 0.1%;R-EU_R0805;R0805;R82, R99, R118, R137, R156, R194;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
50;12;9k09 1%;R-EU_R0805;R0805;R80, R81, R97, R98, R116, R117, R135, R136, R154, R155, R192, R193;RESISTOR, European symbol;;;;;;;;;;;;86;;;;R;;;;;
20;18;ADS1148QPWRQ1;ADS1148QPWRQ1;TSSOP28;STAMP1_ADC_SG1, STAMP1_ADC_SG2, STAMP1_ADC_SG5, STAMP1_ADC_SG6, STAMP1_ADC_SG7, STAMP1_ADC_SG8, STAMP1_ADC_SG9, STAMP1_ADC_SG10, STAMP1_ADC_SG11, STAMP1_ADC_SG12, STAMP1_ADC_SG15, STAMP1_ADC_SG16, STAMP1_ADC_TEMP, STAMP1_ADC_TEMP2, STAMP1_ADC_TEMP3, STAMP1_ADC_TEMP4, STAMP1_ADC_TEMP5, STAMP1_ADC_TEMP7;;;;;;;;;;;;;;;;;;;;;;
24;12;COMMON_MODE_CHOKE;COMMON_MODE_CHOKE;COMMON_MODE_CHOKE;U$6, U$7, U$9, U$10, U$11, U$12, U$13, U$14, U$15, U$16, U$19, U$20;WE-SL3 SMT COMMON MODE LINE FILT;;;;;;;;;;;;;;;;;;;;;
2;1;CSTCR6M00G53Z;CSTCR6M00G53Z;CSTCR6M;Q2;Resonator;;;;;;CSTCR6M00G53-R0;1170434;25M8759;;;;;;;;;;;;;
2;1;DSC1001CI1-004.0960T;DSC1001CI1-004.0960T;CDFN3225;U$5;;;;;;;;;;;;;;;;;E;;;;;
2;1;FT2232D;FT2232D;FTDI2232D;FTDI;;;;;;;;;;;;;;;;;;;;;;
15;6;IL-AG5-10P-S3T2;IL-AG5-10P-S3T2;IL-AG5-10P-S3T2;CON_STAMP1, CON_STAMP3, CON_STAMP4, CON_STAMP5, CON_STAMP6, CON_STAMP8;;;;;;;;;;;;;;;;;;;;;;
2;1;LM78L05ACMX/NOPB;LM78L05ACMX/NOPB;SOIC8;U_7805;;;;;;;;;;;;;;;;;;;;;;
