Partlist

Exported from Blade.brd at 25.03.2020 16:29

EAGLE Version 9.6.0 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                      Package                    Library              Position (mil)        Orientation

C1       22p                        C0603                      rcl                  (5220 3105)           R180
C2       22p                        C0603                      rcl                  (5155 3710)           R180
C3       10n                        C0805                      rcl                  (850 3400)            MR90
C4       10u                        C0805                      rcl                  (1250 3250)           R90
C5       10u                        153CLV-0810                rcl                  (1050 3550)           R180
C6       10n                        C0805                      rcl                  (850 2050)            MR90
C7       4u7                        153CLV-0810                rcl                  (1050 2600)           R90
C8       10n                        C0805                      rcl                  (800 2600)            R90
C9       10u                        C0805                      rcl                  (1250 1850)           R90
C10      10u                        153CLV-0810                rcl                  (1050 2200)           R180
C11      4u7                        153CLV-0810                rcl                  (1155 1285)           R90
C12      10n                        C0805                      rcl                  (820 1460)            R90
C13      10n                        C0805                      rcl                  (895 1035)            R180
C14      10u                        C0805                      rcl                  (660 1330)            MR0
C15      10u                        153CLV-0810                rcl                  (1305 445)            R90
C16      2.2u                       C1206                      rcl                  (2317.67766 782.32222) R315
C17      2.2u                       C1206                      rcl                  (2009.39333 1910.60655) R225
C18      100n                       0603-CAP                   aSparkFun            (3160 2125)           R90
C19      100n                       C0805                      rcl                  (1815 3400)           R270
C20      100n                       C0805                      rcl                  (1350 3600)           MR270
C21      1u                         C0805                      rcl                  (1350 3375)           MR270
C22      100n                       C0805                      rcl                  (1335 3105)           MR270
C23      100n                       C0805                      rcl                  (1760 2925)           MR270
C24      1u                         C0805                      rcl                  (1350 2900)           MR270
C25      100n                       C0805                      rcl                  (1335 2685)           MR90
C26      100n                       C0805                      rcl                  (1785 2410)           MR270
C27      1u                         C0805                      rcl                  (1335 2390)           MR270
C28      100n                       C0805                      rcl                  (1525 1900)           MR180
C29      100n                       C0805                      rcl                  (1555 1270)           MR270
C30      100n                       C0805                      rcl                  (1525 2100)           R0
C31      100n                       C0805                      rcl                  (2225 2095)           MR135
C32      100n                       C0805                      rcl                  (3065 2140)           R90
C33      100n                       C0805                      rcl                  (4750 3175)           R270
C34      100n                       C0805                      rcl                  (4950 2150)           R270
C35      100n                       C0805                      rcl                  (4140 2990)           R0
C36      100n                       C0805                      rcl                  (3965 1985)           R270
C37      100n                       C0805                      rcl                  (3955 2990)           R180
C38      10u                        153CLV-0810                rcl                  (4500 2450)           R270
C39      10u                        153CLV-0810                rcl                  (3700 1940)           R270
C40      10u                        153CLV-0810                rcl                  (4500 3450)           R270
C41      10u                        153CLV-0810                rcl                  (3725 2575)           R90
